app,policy_area,metric,period,value
Facebook,Adult Nudity & Sexual Activity,Content Actioned,2017Q4,"20,800,000"
Facebook,Adult Nudity & Sexual Activity,Content Actioned,2018Q1,"21,000,000"
Facebook,Adult Nudity & Sexual Activity,Content Actioned,2018Q2,"34,900,000"
Facebook,Adult Nudity & Sexual Activity,Content Actioned,2018Q3,"31,800,000"
Facebook,Adult Nudity & Sexual Activity,Content Actioned,2018Q4,"28,700,000"
Facebook,Adult Nudity & Sexual Activity,Content Actioned,2019Q1,"24,500,000"
Facebook,Adult Nudity & Sexual Activity,Content Actioned,2019Q2,"27,800,000"
Facebook,Adult Nudity & Sexual Activity,Content Actioned,2019Q3,"30,300,000"
Facebook,Adult Nudity & Sexual Activity,Content Actioned,2019Q4,"38,900,000"
Facebook,Adult Nudity & Sexual Activity,Content Actioned,2020Q1,"39,500,000"
Facebook,Adult Nudity & Sexual Activity,Content Actioned,2020Q2,"35,800,000"
Facebook,Adult Nudity & Sexual Activity,Content Actioned,2020Q3,"36,700,000"
Facebook,Adult Nudity & Sexual Activity,Content Actioned,2020Q4,"28,100,000"
Facebook,Adult Nudity & Sexual Activity,Content Actioned,2021Q1,"31,900,000"
Facebook,Adult Nudity & Sexual Activity,Content Actioned,2021Q2,"32,800,000"
Facebook,Adult Nudity & Sexual Activity,Content Actioned,2021Q3,"34,700,000"
Facebook,Adult Nudity & Sexual Activity,Content Actioned,2021Q4,"27,300,000"
Facebook,Adult Nudity & Sexual Activity,Content Actioned,2022Q1,"31,000,000"
Facebook,Adult Nudity & Sexual Activity,Content Actioned,2022Q2,"38,400,000"
Facebook,Adult Nudity & Sexual Activity,Content Actioned,2022Q3,"29,400,000"
Facebook,Adult Nudity & Sexual Activity,Content Actioned,2022Q4,"29,100,000"
Facebook,Adult Nudity & Sexual Activity,Content Actioned,2023Q1,"38,600,000"
Facebook,Adult Nudity & Sexual Activity,Content Actioned,2023Q2,"51,200,000"
Facebook,Adult Nudity & Sexual Activity,Content Actioned,2023Q3,"35,100,000"
Facebook,Adult Nudity & Sexual Activity,Content Actioned,2023Q4,"44,100,000"
Facebook,Adult Nudity & Sexual Activity,Content Actioned,2024Q1,"39,400,000"
Facebook,Bullying & Harassment,Content Actioned,2017Q4,N/A
Facebook,Bullying & Harassment,Content Actioned,2018Q1,N/A
Facebook,Bullying & Harassment,Content Actioned,2018Q2,N/A
Facebook,Bullying & Harassment,Content Actioned,2018Q3,"2,000,000"
Facebook,Bullying & Harassment,Content Actioned,2018Q4,"2,700,000"
Facebook,Bullying & Harassment,Content Actioned,2019Q1,"2,400,000"
Facebook,Bullying & Harassment,Content Actioned,2019Q2,"2,500,000"
Facebook,Bullying & Harassment,Content Actioned,2019Q3,"3,200,000"
Facebook,Bullying & Harassment,Content Actioned,2019Q4,"2,800,000"
Facebook,Bullying & Harassment,Content Actioned,2020Q1,"2,300,000"
Facebook,Bullying & Harassment,Content Actioned,2020Q2,"2,400,000"
Facebook,Bullying & Harassment,Content Actioned,2020Q3,"3,500,000"
Facebook,Bullying & Harassment,Content Actioned,2020Q4,"6,300,000"
Facebook,Bullying & Harassment,Content Actioned,2021Q1,"8,800,000"
Facebook,Bullying & Harassment,Content Actioned,2021Q2,"7,900,000"
Facebook,Bullying & Harassment,Content Actioned,2021Q3,"9,200,000"
Facebook,Bullying & Harassment,Content Actioned,2021Q4,"8,200,000"
