Metric,Period Type,Period,Policy Type,Issue Policy,Task Type,Task,Location,Market,Result
Removal rate before any views,quarterly,Jul-Sep 2022,issue,Adult nudity and sexual activities,all,all,all,all,0.821
Removal rate within 24 hours,quarterly,Jul-Sep 2022,issue,Adult nudity and sexual activities,all,all,all,all,0.909
Proactive removal rate,quarterly,Jul-Sep 2022,issue,Adult nudity and sexual activities,all,all,all,all,0.933
Category share,quarterly,Jul-Sep 2020,issue,Adult nudity and sexual activities,all,all,all,all,0.213
Category share,quarterly,Oct-Dec 2020,issue,Adult nudity and sexual activities,all,all,all,all,0.197
Category share,quarterly,Jan-Mar 2021,issue,Adult nudity and sexual activities,all,all,all,all,0.156
Category share,quarterly,Apr-Jun 2021,issue,Adult nudity and sexual activities,all,all,all,all,0.140
Category share,quarterly,Jul-Sep 2021,issue,Adult nudity and sexual activities,all,all,all,all,0.111
Category share,quarterly,Oct-Dec 2021,issue,Adult nudity and sexual activities,all,all,all,all,0.109
Category share,quarterly,Jan-Mar 2022,issue,Adult nudity and sexual activities,all,all,all,all,0.113
Category share,quarterly,Apr-Jun 2022,issue,Adult nudity and sexual activities,all,all,all,all,0.107
Category share,quarterly,Jul-Sep 2022,issue,Adult nudity and sexual activities,all,all,all,all,0.107
Removal rate within 24 hours,quarterly,Oct-Dec 2022,issue,Adult nudity and sexual activities,all,all,all,all,0.906
Removal rate before any views,quarterly,Oct-Dec 2022,issue,Adult nudity and sexual activities,all,all,all,all,0.788
Category share,quarterly,Oct-Dec 2022,issue,Adult nudity and sexual activities,all,all,all,all,0.128
Proactive removal rate,quarterly,Oct-Dec 2022,issue,Adult nudity and sexual activities,all,all,all,all,0.926
Removal rate before any views,quarterly,Jul-Sep 2022,Community guidelines policy,Nudity and sexual activity involving adults,task_type,human moderation,all,all,0.735
Removal rate within 24 hours,quarterly,Jul-Sep 2022,Community guidelines policy,Nudity and sexual activity involving adults,task_type,human moderation,all,all,0.850
Category share,quarterly,Jul-Sep 2022,Community guidelines policy,Nudity and sexual activity involving adults,task_type,human moderation,all,all,0.711
Proactive removal rate,quarterly,Jul-Sep 2022,Community guidelines policy,Nudity and sexual activity involving adults,task_type,human moderation,all,all,0.894
Removal rate before any views,quarterly,Oct-Dec 2022,Community guidelines policy,Nudity and sexual activity involving adults,task_type,human moderation,all,all,0.568
Removal rate within 24 hours,quarterly,Oct-Dec 2022,Community guidelines policy,Nudity and sexual activity involving adults,task_type,human moderation,all,all,0.798
Proactive removal rate,quarterly,Oct-Dec 2022,Community guidelines policy,Nudity and sexual activity involving adults,task_type,human moderation,all,all,0.864
Category share,quarterly,Oct-Dec 2022,Community guidelines policy,Nudity and sexual activity involving adults,task_type,human moderation,all,all,0.670
Removal rate before any views,quarterly,Jul-Sep 2022,Community guidelines policy,Sexual exploitation,task_type,human moderation,all,all,0.725
Removal rate within 24 hours,quarterly,Jul-Sep 2022,Community guidelines policy,Sexual exploitation,task_type,human moderation,all,all,0.899
Category share,quarterly,Jul-Sep 2022,Community guidelines policy,Sexual exploitation,task_type,human moderation,all,all,0.289
Proactive removal rate,quarterly,Jul-Sep 2022,Community guidelines policy,Sexual exploitation,task_type,human moderation,all,all,0.906
Removal rate before any views,quarterly,Oct-Dec 2022,Community guidelines policy,Sexual exploitation,task_type,human moderation,all,all,0.678
Removal rate within 24 hours,quarterly,Oct-Dec 2022,Community guidelines policy,Sexual exploitation,task_type,human moderation,all,all,0.902
Proactive removal rate,quarterly,Oct-Dec 2022,Community guidelines policy,Sexual exploitation,task_type,human moderation,all,all,0.858
Category share,quarterly,Oct-Dec 2022,Community guidelines policy,Sexual exploitation,task_type,human moderation,all,all,0.330
Removal rate of published,quarterly,Jul-Sep 2020,all,all,all,all,all,all,0.006
Removal rate of published,quarterly,Oct-Dec 2020,all,all,all,all,all,all,0.006
Removal rate of published,quarterly,Jan-Mar 2021,all,all,all,all,all,all,0.008
Removal rate of published,quarterly,Apr-Jun 2021,all,all,all,all,all,all,0.010
Removal rate of published,quarterly,Jul-Sep 2021,all,all,all,all,all,all,0.010
Removal rate of published,quarterly,Oct-Dec 2021,all,all,all,all,all,all,0.009
Removal rate of published,quarterly,Jan-Mar 2022,all,all,all,all,all,all,0.009
Removal rate of published,quarterly,Apr-Jun 2022,all,all,all,all,all,all,0.010
Removal rate of published,quarterly,Jul-Sep 2022,all,all,all,all,all,all,0.009
Removal rate before any views,quarterly,Jul-Sep 2022,all,all,all,all,Market,Algeria,0.918
Removal rate before any views,quarterly,Jul-Sep 2022,all,all,all,all,Market,Argentina,0.915
Removal rate before any views,quarterly,Jul-Sep 2022,all,all,all,all,Market,Australia,0.847
Removal rate before any views,quarterly,Jul-Sep 2022,all,all,all,all,Market,Azerbaijan,0.793
Removal rate before any views,quarterly,Jul-Sep 2022,all,all,all,all,Market,Bangladesh,0.974
Removal rate before any views,quarterly,Jul-Sep 2022,all,all,all,all,Market,Belarus,0.826
Removal rate before any views,quarterly,Jul-Sep 2022,all,all,all,all,Market,Brazil,0.934
Removal rate before any views,quarterly,Jul-Sep 2022,all,all,all,all,Market,Cambodia,0.875
Removal rate before any views,quarterly,Jul-Sep 2022,all,all,all,all,Market,Canada,0.871
Removal rate before any views,quarterly,Jul-Sep 2022,all,all,all,all,Market,Chile,0.878
Removal rate before any views,quarterly,Jul-Sep 2022,all,all,all,all,Market,Colombia,0.947
Removal rate before any views,quarterly,Jul-Sep 2022,all,all,all,all,Market,Dominican Republic,0.936
